Model,Anomaly Rate (%),Precision,Recall,F1-Score,ROC-AUC,Silhouette,Severe (%)
Isolation Forest,14.327772325809619,0.9726027397260274,0.9281045751633987,0.9498327759197325,0.9981811046204471,0.7340853610016669,0.0
Autoencoder,31.108930323846906,0.41009463722397477,0.8496732026143791,0.5531914893617021,0.8839680598952436,0.5891745430460925,10.69676153091266
LSTM Autoencoder,83.56435643564356,0.15639810426540285,0.868421052631579,0.26506024096385544,0.6345003680529997,0.13298079710048644,59.1089108910891
